,,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses,Number of agricultural businesses
Commodity description,,Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML),Area of holding - Total area (ha) (a),"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",Water source - Total volume of water from all sources (ML) (b),Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",Water use - Total application rate (ML/ha),Water use - Total area watered (ha),Water use - Total volume applied (ML)
Region label,Year,,,,,,,,,,,,,,,,
Gnowangerup,2020,1007082.42,,1094.35,1094.35,,0.76,1431.34,1094.35,280.0,,2.0,2.0,,0.0,2.0,2.0
Gold Coast,2011,40850.0,357.5,2044.4,918.8,719.9,3.2,328.4,2044.4,372.0,41.0,290.0,176.0,91.0,0.0,105.0,290.0
Gold Coast,2012,39171.4,692.9,2408.7,913.8,719.0,4.3,437.5,2408.7,393.0,112.0,322.0,158.0,102.0,0.0,81.0,322.0
Gold Coast,2013,20762.49,140.43,1404.39,509.3,702.4,3.72,293.5,1091.71,276.0,69.0,201.0,109.0,97.0,0.0,85.0,85.0
Gold Coast,2014,22473.0,87.65,1079.78,813.83,118.61,2.37,344.14,815.27,269.0,89.0,194.0,104.0,51.0,0.0,62.0,62.0
Gold Coast,2015,132640.46,118.0,1849.15,718.35,299.3,4.09,416.41,1704.26,165.0,43.0,118.0,72.0,36.0,0.0,62.0,62.0
Gold Coast,2016,92414.29,74.77,895.39,468.58,334.4,3.56,212.77,757.97,160.0,28.0,89.0,61.0,35.0,0.0,53.0,53.0
Gold Coast,2017,18762.59,72.98,1202.87,817.35,250.34,3.48,298.97,1041.82,163.0,25.0,124.0,46.0,51.0,0.0,41.0,41.0
Gold Coast,2018,11708.51,42.6,3874.14,197.64,3588.56,16.17,228.27,3690.62,159.0,37.0,122.0,53.0,36.0,0.0,66.0,66.0
Gold Coast,2019,11599.1,84.87,4483.83,313.37,4067.88,3.94,1035.66,4075.7,152.0,22.0,72.0,35.0,21.0,0.0,65.0,65.0
Gold Coast,2020,17990.63,629.69,2086.27,525.78,497.21,3.99,436.03,1738.01,162.0,18.0,51.0,20.0,17.0,0.0,51.0,51.0
Golden Grove,2020,6.52,24.46,24.46,,,2.63,9.3,24.46,1.0,1.0,1.0,,,0.0,1.0,1.0
Golden Plains - North,2020,43802.43,,,,,,,,73.0,,,,,,,
Golden Plains - South,2020,103123.52,,391.96,129.26,250.4,2.23,157.2,350.12,188.0,,6.0,3.0,2.0,0.0,6.0,6.0
Googong,2020,875.55,,,,,,,,1.0,,,,,,,
Goolwa - Port Elliot,2020,6069.51,49.67,287.45,,,3.72,77.26,287.45,14.0,2.0,3.0,,,0.0,3.0,3.0
Goondiwindi,2020,123553.79,120.0,2141.89,263.45,1726.58,3.42,539.45,1846.45,60.0,1.0,6.0,1.0,3.0,0.0,6.0,6.0
Goonellabah,2020,166.02,,,,,,,,2.0,,,,,,,
Gooromon,2020,830.13,,,,,,,,1.0,,,,,,,
Gordon (Vic.),2020,31833.84,2347.09,4135.04,1714.03,29.08,2.48,1618.86,4010.39,144.0,31.0,49.0,40.0,1.0,0.0,49.0,49.0
Gordonvale - Trinity,2020,8512.74,1088.77,1571.2,,361.9,4.46,356.26,1588.88,86.0,8.0,13.0,,3.0,0.0,13.0,13.0
Gorokan - Kanwal - Charmhaven,2020,17.99,,,,,,,,1.0,,,,,,,
Goulburn,2020,9180.01,,3096.58,3092.52,4.06,2.0,1546.84,3096.58,14.0,,2.0,1.0,1.0,0.0,2.0,2.0
Goulburn Surrounds,2020,438753.88,196.56,831.41,60.83,268.97,2.25,371.4,836.03,677.0,7.0,18.0,9.0,5.0,0.0,17.0,17.0
Gowrie (Qld),2020,61718.76,144.65,603.68,120.96,54.79,1.69,241.71,407.44,22.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0
Goyder,2020,667276.54,,4.73,,4.73,0.0,0.0,4.73,222.0,,1.0,,1.0,0.0,1.0,1.0
Gracemere,2020,66412.77,119.93,126.14,,6.2,1.57,80.1,126.14,22.0,5.0,5.0,,1.0,0.0,5.0,5.0
Grafton,2020,10889.17,1.28,53.7,2.23,50.19,1.34,44.69,59.87,30.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0
Grafton Surrounds,2020,242710.82,,3489.64,498.61,2959.8,5.37,649.58,3487.29,326.0,,35.0,24.0,9.0,0.0,35.0,35.0
Grant,2020,92187.63,50107.66,51636.38,,232.28,4.32,11825.58,51059.85,250.0,89.0,92.0,,1.0,0.0,92.0,92.0
Granville,2020,516.83,,293.31,,102.84,4.85,60.47,293.31,4.0,,2.0,,1.0,0.0,2.0,2.0
Greenbank - North Maclean,2020,129.86,1.31,63.05,39.2,,5.53,11.4,63.05,7.0,1.0,4.0,4.0,,0.0,4.0,4.0
Greenvale - Bulla,2020,934.38,,,,,,,,5.0,,,,,,,
Grenfell,2020,294937.08,7.35,13.47,6.13,,0.65,20.82,13.47,237.0,2.0,2.0,1.0,,0.0,2.0,2.0
Griffith (NSW),2020,7762.18,442.11,27090.54,,50.79,6.29,4231.57,26616.12,60.0,1.0,54.0,,1.0,0.0,54.0,54.0
Griffith Surrounds,2020,2100243.7,168919.05,1031823.46,1301.54,158592.38,5.53,179449.41,992194.16,928.0,97.0,653.0,14.0,53.0,0.0,652.0,652.0
Grindelwald - Lanena,2020,4309.4,,243.42,125.13,26.22,1.62,146.79,238.51,42.0,,13.0,8.0,1.0,0.0,13.0,13.0
Grovedale - Mount Duneed,2020,1066.87,,,,,,,,4.0,,,,,,,
Guanaba - Springbrook,2020,1069.14,6.09,145.24,24.7,108.36,9.63,15.09,145.24,16.0,1.0,4.0,2.0,2.0,0.0,4.0,4.0
Gulf,2020,838849.8,,,,,,,,4.0,,,,,,,
Gundagai,2020,171711.14,509.31,1038.86,,529.55,1.5,562.92,843.42,161.0,2.0,8.0,,6.0,0.0,8.0,8.0
Gunnedah,2020,5776.62,64.1,64.1,,,2.5,25.64,64.1,15.0,1.0,1.0,,,0.0,1.0,1.0
Gunnedah Surrounds,2020,391696.0,24451.14,45904.33,2072.9,19245.77,3.01,14252.2,42869.04,330.0,57.0,62.0,5.0,13.0,0.0,62.0,62.0
Gympie - North,2020,1433.3,,61.3,45.87,13.11,1.16,52.82,61.05,7.0,,2.0,1.0,1.0,0.0,2.0,2.0
Gympie - South,2020,575.7,,156.23,9.83,44.94,1.6,72.67,116.15,8.0,,4.0,1.0,1.0,0.0,4.0,4.0
Gympie Surrounds,2020,104635.92,331.77,8506.64,2082.52,6092.35,2.46,3523.61,8671.81,316.0,23.0,133.0,79.0,77.0,0.0,133.0,133.0
Hackham - Onkaparinga Hills,2020,13.93,,5.91,,,0.0,0.0,5.91,2.0,,1.0,,,0.0,1.0,1.0
Hadspen - Carrick,2020,14970.98,,4745.75,2866.28,1703.52,2.83,1676.41,4745.75,27.0,,15.0,12.0,8.0,0.0,15.0,15.0
Hahndorf - Echunga,2020,2065.93,642.3,768.39,120.84,5.25,2.58,287.8,741.25,39.0,15.0,17.0,9.0,1.0,0.0,17.0,17.0
Hall,2020,118.67,,,,,,,,2.0,,,,,,,
Halls Creek,2020,5912320.15,,,,,,,,12.0,,,,,,,
Hamilton (Qld),2020,1.46,,,,,,,,1.0,,,,,,,
Hamilton (Vic.),2020,20839.38,,448.75,12.2,,3.64,126.84,461.09,55.0,,4.0,2.0,,0.0,4.0,4.0
Hampton Park - East,2020,1.53,,0.13,,,2.58,0.25,0.66,1.0,,1.0,,,0.0,1.0,1.0
Happy Valley,2020,0.78,,2.22,,,2.86,0.78,2.22,1.0,,1.0,,,0.0,1.0,1.0
Harrisdale,2020,6.55,,,,,,,,1.0,,,,,,,
Harvey,2020,46935.19,8971.08,30517.73,1176.42,638.47,5.02,5880.95,29526.24,173.0,12.0,110.0,9.0,4.0,0.0,110.0,110.0
Hastings - Somers,2020,1611.2,8.79,101.67,36.88,,1.32,74.22,98.04,31.0,2.0,8.0,5.0,,0.0,8.0,8.0
Hawthorn - North,2020,0.0,,,,,,,,1.0,,,,,,,
Hay,2020,1358922.57,13396.31,109124.47,,85647.11,10.32,9949.43,102649.87,106.0,8.0,37.0,,28.0,0.0,37.0,37.0
Hazelmere - Guildford,2020,5.45,,,,,,,,1.0,,,,,,,
Healesville - Yarra Glen,2020,9118.9,10.58,972.92,460.44,393.35,1.05,885.6,925.51,73.0,2.0,37.0,28.0,14.0,0.0,37.0,37.0
Heathcote,2020,30223.98,9.45,570.12,46.73,382.71,1.44,360.17,518.41,64.0,3.0,15.0,6.0,8.0,0.0,14.0,14.0
Helensburgh,2020,170.66,,43.89,8.29,34.44,1.93,22.77,43.89,3.0,,2.0,2.0,1.0,0.0,2.0,2.0
Herberton,2020,474396.14,255.81,2786.76,476.71,2054.23,3.39,791.67,2687.51,86.0,5.0,20.0,4.0,11.0,0.0,20.0,20.0
High Wycombe,2020,6.87,2.29,2.29,,,2.0,1.14,2.29,2.0,1.0,1.0,,,0.0,1.0,1.0
Highfields,2020,5875.44,706.06,725.03,18.96,,7.59,95.57,725.03,24.0,6.0,7.0,2.0,,0.0,7.0,7.0
Highton,2020,247.6,,,,,,,,3.0,,,,,,,
Hill Top - Colo Vale,2020,836.52,10.07,21.66,5.8,,9.0,2.32,20.86,10.0,2.0,2.0,1.0,,0.0,2.0,2.0
Hillcrest,2020,3.94,,3.39,2.52,,3.67,3.94,14.47,1.0,,1.0,1.0,,0.0,1.0,1.0
Hobart,2011,50353.0,86.1,8353.6,2125.8,1647.4,1.8,4425.5,8353.6,303.0,42.0,270.0,130.0,43.0,0.0,155.0,270.0
Hobart,2012,70867.5,25.7,8256.7,2618.0,1112.8,2.0,3979.4,8256.7,298.0,40.0,277.0,192.0,61.0,0.0,125.0,277.0
Hobart,2013,37525.58,28.83,3108.5,640.86,240.56,2.23,1310.64,2917.08,251.0,57.0,246.0,114.0,108.0,0.0,94.0,94.0
Hobart,2014,61372.33,57.46,5736.45,2483.11,939.27,2.14,2445.55,5244.16,294.0,62.0,271.0,166.0,30.0,0.0,101.0,101.0
Hobart,2015,64402.32,29.66,7189.33,2551.03,723.79,3.01,2266.18,6832.12,138.0,13.0,128.0,53.0,33.0,0.0,78.0,78.0
Hobart,2016,50005.79,37.4,5419.95,2002.84,380.34,2.39,2159.93,5161.26,123.0,15.0,120.0,56.0,13.0,0.0,75.0,75.0
Hobart,2017,31618.34,58.65,6936.31,1645.73,1020.81,2.6,2558.1,6640.59,116.0,17.0,114.0,56.0,15.0,0.0,73.0,73.0
Hobart,2018,32071.01,16.87,5905.5,1880.22,647.63,1.84,3083.01,5679.79,132.0,8.0,129.0,64.0,14.0,0.0,78.0,78.0
Hobart,2019,22373.75,55.56,3955.73,443.01,123.21,2.1,1702.25,3581.87,147.0,17.0,121.0,41.0,4.0,0.0,77.0,77.0
Hobart,2020,27797.33,272.0,8076.45,1451.67,1405.96,2.66,2845.02,7558.03,131.0,4.0,77.0,22.0,10.0,0.0,77.0,77.0
Hocking - Pearsall,2020,143.53,1039.54,1047.81,7.29,,9.99,104.98,1049.12,28.0,23.0,23.0,2.0,,0.0,23.0,23.0
Hope Valley - Postans,2020,7.67,13.73,13.73,,,0.0,0.0,13.73,1.0,1.0,1.0,,,0.0,1.0,1.0
Horsham,2020,16476.22,,,,,,,,23.0,,,,,,,
Horsham Surrounds,2020,322635.88,20.86,190.03,4.54,,0.6,307.59,184.52,350.0,4.0,11.0,3.0,,0.0,11.0,11.0
Horsley - Kembla Grange,2020,227.88,,,,,,,,2.0,,,,,,,
Horsley Park - Kemps Creek,2020,643.61,,651.32,313.9,,6.09,123.03,749.8,59.0,,36.0,22.0,,0.0,36.0,36.0
Howard Springs,2020,4.82,30.27,30.27,,,10.9,2.78,30.27,2.0,2.0,2.0,,,0.0,2.0,2.0
Hume,2011,1174760.0,8698.4,48623.0,15143.7,15850.1,1.9,17424.8,48623.0,4670.0,1511.0,4281.0,2938.0,1725.0,0.0,681.0,4281.0
Hume,2012,1252794.8,6960.2,68058.8,13624.7,35801.8,2.6,19191.8,68058.8,4458.0,1449.0,4163.0,2989.0,1410.0,0.0,647.0,4163.0
Hume,2013,1041474.48,7682.24,69931.92,14035.41,40562.74,2.67,20558.55,54947.24,4355.0,1276.0,4023.0,3015.0,1130.0,0.0,752.0,752.0
Hume,2014,1231009.5,8717.42,67027.1,21060.8,31954.03,2.26,21690.28,49039.21,4130.0,763.0,3924.0,2510.0,1097.0,0.0,837.0,837.0
Hume,2015,1012039.28,8770.44,60995.65,13179.73,33551.65,2.72,16980.15,46182.22,2612.0,733.0,2505.0,1614.0,1013.0,0.0,476.0,476.0
Hume,2016,1200097.76,10444.32,67611.82,11608.85,32905.86,2.27,23970.36,54363.35,2865.0,851.0,2829.0,1894.0,1265.0,0.0,484.0,484.0
Hume,2017,1077627.72,7087.51,156239.26,14100.41,31006.32,3.4,40886.1,139171.41,2645.0,670.0,2551.0,1590.0,909.0,0.0,534.0,534.0
Hume,2018,1250128.09,9032.85,56540.4,14166.34,25096.41,2.22,16539.78,36705.99,2930.0,869.0,2836.0,1819.0,1020.0,0.0,530.0,530.0
Hume,2019,1095270.21,12592.03,52191.81,8682.83,26890.85,2.94,14598.16,42851.91,3023.0,532.0,1272.0,727.0,370.0,0.0,348.0,348.0
Hume,2020,1177043.12,5648.31,37200.82,3936.58,23623.01,2.17,16010.45,34664.22,2991.0,127.0,441.0,133.0,250.0,0.0,441.0,441.0
Humpty Doo,2020,439.88,790.62,790.62,,,3.26,230.51,751.48,21.0,17.0,17.0,,,0.0,17.0,17.0
Hunter Valley exc Newcastle,2011,895079.8,9700.1,37984.7,3366.6,21170.5,1.4,19603.1,37984.7,2692.0,492.0,2502.0,1427.0,1274.0,0.0,562.0,2502.0
Hunter Valley exc Newcastle,2012,1155011.6,32464.8,76976.6,6195.9,36148.1,2.8,23902.1,76976.6,2831.0,994.0,2768.0,1199.0,869.0,0.0,623.0,2768.0
Hunter Valley exc Newcastle,2013,1185239.22,35450.39,76971.68,5571.83,33143.06,2.31,28941.05,66811.56,2770.0,1080.0,2686.0,1415.0,877.0,0.0,791.0,791.0
Hunter Valley exc Newcastle,2016,981538.15,11112.66,60182.45,2975.5,39940.98,2.3,21907.19,50300.31,1191.0,351.0,1161.0,532.0,583.0,0.0,357.0,357.0
Hunter Valley exc Newcastle,2017,861735.89,5612.74,43054.89,2084.82,32964.8,2.63,13898.41,36557.42,972.0,304.0,949.0,474.0,359.0,0.0,249.0,249.0
Hunter Valley exc Newcastle,2018,795932.67,16722.07,90261.28,3662.5,67390.79,2.54,32851.9,83528.25,1177.0,313.0,1114.0,532.0,560.0,0.0,377.0,377.0
Hunter Valley exc Newcastle,2019,754851.35,12632.69,88127.82,1622.57,68799.9,1.81,44981.05,81476.63,1113.0,202.0,582.0,200.0,317.0,0.0,381.0,381.0
Hunter Valley exc Newcastle,2020,826768.68,12188.56,40698.64,575.58,26345.29,2.07,17961.58,37224.74,1210.0,90.0,310.0,55.0,180.0,0.0,310.0,310.0
Hunter Valley excl Newcastle,2014,1067223.09,18765.41,74950.31,2698.79,49803.7,3.28,20129.3,66013.81,2305.0,568.0,2202.0,1058.0,964.0,0.0,529.0,529.0
Hunter Valley excluding Newcastle,2015,870710.46,13782.7,51703.71,2471.04,33035.43,2.43,17482.45,42562.21,1153.0,405.0,1123.0,460.0,599.0,0.0,348.0,348.0
Huonville - Franklin,2020,7426.55,122.76,2167.58,756.84,1174.02,2.73,794.22,2165.35,49.0,4.0,26.0,17.0,14.0,0.0,26.0,26.0
Hurstbridge,2020,5.33,,,,,,,,1.0,,,,,,,
Hyde Park - Pimlico,2020,161.01,,,,,,,,1.0,,,,,,,
Illawarra,2011,18015.6,214.4,1323.2,345.2,477.6,2.8,253.1,1323.2,203.0,41.0,203.0,126.0,65.0,0.0,20.0,203.0
Illawarra,2012,20184.5,127.0,2095.5,342.3,77.5,6.2,241.0,2095.5,230.0,46.0,230.0,183.0,68.0,0.0,9.0,230.0
Illawarra,2013,17010.94,15.18,602.7,131.02,272.74,1.48,92.28,136.58,170.0,49.0,170.0,67.0,19.0,0.0,14.0,14.0
Illawarra,2014,12276.47,203.84,567.1,84.11,156.34,1.66,144.31,239.81,175.0,47.0,175.0,87.0,112.0,0.0,51.0,51.0
Illawarra,2015,7049.73,70.68,898.08,394.17,71.75,1.24,289.31,359.99,68.0,18.0,66.0,34.0,11.0,0.0,7.0,7.0
Illawarra,2016,14346.93,119.01,559.88,283.36,40.18,1.73,38.16,66.14,78.0,17.0,77.0,60.0,1.0,0.0,5.0,5.0
Illawarra,2017,12640.89,338.04,479.56,39.82,101.7,18.13,20.24,366.89,15.0,14.0,14.0,12.0,8.0,0.0,2.0,2.0
Illawarra,2018,10344.18,1190.42,1264.27,9.37,63.21,138.05,8.58,1185.14,14.0,5.0,14.0,4.0,5.0,0.0,4.0,4.0
Illawarra,2019,1012.36,107.86,235.32,22.27,47.32,4.56,38.97,177.58,24.0,1.0,14.0,2.0,1.0,0.0,2.0,2.0
Illawarra,2020,9663.97,1.47,482.74,26.84,231.02,1.13,428.86,484.26,78.0,2.0,10.0,7.0,4.0,0.0,9.0,9.0
Inala - Richlands,2020,4.87,1.32,1.32,,,2.0,0.66,1.32,2.0,1.0,1.0,,,0.0,1.0,1.0
Ingham,2020,29873.08,233.5,269.04,,35.54,4.6,58.55,269.04,50.0,1.0,2.0,,1.0,0.0,2.0,2.0
Ingham Surrounds,2020,219123.91,1505.48,2281.92,414.65,190.9,2.23,1093.13,2439.44,395.0,11.0,22.0,5.0,4.0,0.0,22.0,22.0
Ingleburn,2020,62.66,,,,,,,,1.0,,,,,,,
Inglewood - Waggamba,2020,1424925.68,27388.0,161758.78,18176.86,111761.38,6.78,20650.19,140092.94,319.0,16.0,46.0,10.0,23.0,0.0,45.0,45.0
Innisfail,2020,2795.11,125.38,164.57,39.19,,1.88,94.59,178.26,28.0,6.0,6.0,1.0,,0.0,6.0,6.0
Inverell,2020,35188.84,,35.09,,35.09,3.0,11.7,35.09,36.0,,1.0,,1.0,0.0,1.0,1.0
Inverell Surrounds - East,2020,491095.07,8079.46,10185.41,269.03,1723.88,2.87,3199.78,9173.84,327.0,15.0,29.0,7.0,17.0,0.0,29.0,29.0
Inverell Surrounds - West,2020,524861.97,1815.18,2237.87,142.95,274.24,4.08,513.74,2097.86,366.0,6.0,9.0,1.0,3.0,0.0,9.0,9.0
Ipswich,2011,503174.6,11062.8,27526.8,6232.2,7483.7,1.6,14492.1,27526.8,1778.0,688.0,1699.0,1037.0,447.0,0.0,586.0,1699.0
Ipswich,2012,435345.8,16747.1,39416.7,9279.6,9379.5,1.9,17719.4,39416.7,1605.0,750.0,1512.0,851.0,496.0,0.0,603.0,1512.0
Ipswich,2013,408121.0,24442.25,50112.59,12265.2,9876.58,2.27,20202.87,45941.71,1587.0,741.0,1508.0,885.0,486.0,0.0,633.0,633.0
Ipswich,2014,357162.78,11681.17,36693.42,9753.24,11053.87,2.05,15408.14,31616.4,1417.0,679.0,1287.0,793.0,630.0,0.0,419.0,419.0
Ipswich,2015,289313.42,19316.89,38212.83,5099.08,9769.62,2.14,16404.29,35048.39,753.0,445.0,728.0,343.0,266.0,0.0,340.0,340.0
Ipswich,2016,357583.06,17310.23,32350.6,4062.78,9387.2,2.4,12167.45,29203.08,684.0,381.0,662.0,274.0,197.0,0.0,307.0,307.0
Ipswich,2017,211859.95,25770.15,41336.85,4088.78,8639.96,2.47,15191.28,37475.78,694.0,350.0,681.0,324.0,284.0,0.0,342.0,342.0
Ipswich,2018,185249.8,28411.71,48931.32,3311.58,6165.02,3.24,14189.0,45915.38,764.0,457.0,719.0,311.0,164.0,0.0,278.0,278.0
Ipswich,2019,245968.43,31008.32,58103.3,5285.05,14738.73,3.19,16572.21,52864.23,805.0,295.0,508.0,186.0,121.0,0.0,328.0,328.0
Ipswich,2020,281924.9,27618.99,46007.72,3074.92,10516.84,2.91,15529.61,45264.44,821.0,220.0,344.0,88.0,113.0,0.0,344.0,344.0
Ipswich - North,2020,489.05,,11.77,0.58,11.19,2.99,3.94,11.77,3.0,,2.0,1.0,2.0,0.0,2.0,2.0
Irwin,2020,94889.75,2.6,2.6,,,0.03,89.0,2.6,41.0,2.0,2.0,,,0.0,2.0,2.0
Irymple,2020,11987.54,368.2,17922.58,39.9,543.21,6.48,2657.66,17214.92,145.0,1.0,130.0,4.0,6.0,0.0,130.0,130.0
Jacobs Well - Alberton,2020,6901.64,,441.09,26.49,,3.16,139.53,441.09,37.0,,2.0,1.0,,0.0,2.0,2.0
Jamestown,2020,346121.39,136.85,531.01,,394.16,0.0,0.0,531.01,250.0,2.0,3.0,,1.0,0.0,3.0,3.0
Jilliby - Yarramalong,2020,2627.08,,579.87,12.39,567.48,6.17,93.95,579.87,24.0,,5.0,1.0,3.0,0.0,5.0,5.0
Jimboomba - Glenlogan,2020,1791.97,192.16,539.63,50.25,297.12,2.47,247.45,610.25,18.0,3.0,7.0,3.0,2.0,0.0,7.0,7.0
Jindabyne - Berridale,2020,106334.49,,60.41,0.59,59.81,4.81,12.56,60.41,91.0,,2.0,1.0,1.0,0.0,2.0,2.0
Johnstone,2020,31770.81,10064.44,16319.82,431.39,3829.32,2.97,5535.5,16417.51,289.0,43.0,76.0,3.0,32.0,0.0,76.0,76.0
Jondaryan,2020,172119.88,11632.86,23974.32,5106.74,6800.72,2.16,9686.33,20962.07,284.0,70.0,83.0,28.0,18.0,0.0,83.0,83.0
Jordan Springs - Llandilo,2020,369.01,27.93,618.92,23.88,8.38,3.88,17.55,68.16,21.0,1.0,12.0,6.0,1.0,0.0,11.0,11.0
Junee,2020,216593.9,407.79,1244.02,,834.95,1.65,734.09,1210.33,197.0,3.0,5.0,,2.0,0.0,5.0,5.0
Kadina,2020,47241.3,,,,,,,,34.0,,,,,,,
Kalgoorlie,2020,157896.26,,,,,,,,1.0,,,,,,,
Kalgoorlie - North,2020,381670.78,,,,,,,,1.0,,,,,,,
Kallangur,2020,0.92,,0.23,,,0.5,0.46,0.23,1.0,,1.0,,,0.0,1.0,1.0
Kambalda - Coolgardie - Norseman,2020,5810026.26,,,,,,,,19.0,,,,,,,
Kangaroo Island,2020,159963.85,,1090.07,1088.0,,3.5,305.06,1067.66,216.0,,8.0,7.0,,0.0,8.0,8.0
Karalee - Barellan Point,2020,71.65,,11.56,,11.56,5.0,2.31,11.56,2.0,,1.0,,1.0,0.0,1.0,1.0
Karana Downs,2020,197.8,,,,,,,,1.0,,,,,,,
Karnup,2020,38.43,39.06,39.06,,,0.0,0.0,39.76,11.0,8.0,8.0,,,0.0,8.0,8.0
Karoonda - Lameroo,2020,587807.89,14671.23,23984.03,11.45,9243.59,4.56,5260.59,23984.03,254.0,20.0,23.0,1.0,2.0,0.0,23.0,23.0
Katanning,2020,231828.95,,,,,,,,112.0,,,,,,,
Katherine,2020,532755.48,9390.96,0.0,,0.0,0.0,1787.09,0.0,37.0,16.0,19.0,,3.0,0.0,19.0,19.0
Keilor,2020,40.75,,27.17,10.87,13.58,3.64,7.46,27.17,2.0,,2.0,1.0,1.0,0.0,2.0,2.0
Kelmscott,2020,1.37,,,,,,,,1.0,,,,,,,
Kelso,2020,1154.06,,,,,,,,1.0,,,,,,,
Kempsey,2020,5973.02,83.57,206.37,16.37,102.86,2.36,99.57,235.02,37.0,2.0,8.0,2.0,3.0,0.0,8.0,8.0
Kempsey Surrounds,2020,63421.51,2250.97,2608.78,290.63,64.73,4.65,569.2,2644.57,187.0,8.0,24.0,15.0,4.0,0.0,24.0,24.0
Kerang,2020,12747.85,,8775.59,,2296.44,1.94,4251.58,8265.12,33.0,,23.0,,4.0,0.0,23.0,23.0
Kew - South,2020,235.16,,66.85,,66.85,0.93,71.62,66.85,1.0,,1.0,,1.0,0.0,1.0,1.0
Keysborough - South,2020,117.3,,12.47,2.8,,2.9,3.8,11.02,8.0,,2.0,2.0,,0.0,2.0,2.0
Kialla,2020,1500.72,,777.13,,74.43,2.53,314.07,794.02,22.0,,13.0,,2.0,0.0,13.0,13.0
Kiama,2020,125.59,,,,,,,,3.0,,,,,,,
Kiama Hinterland - Gerringong,2020,4920.11,0.27,429.6,12.82,194.26,1.07,402.63,432.31,39.0,1.0,4.0,2.0,2.0,0.0,4.0,4.0
Kilcoy,2020,140385.59,2199.88,3314.51,195.58,919.05,3.2,1085.47,3474.12,134.0,15.0,29.0,8.0,13.0,0.0,29.0,29.0
Kilkivan,2020,204644.29,3599.06,6171.18,130.04,2414.46,3.36,1992.6,6686.44,232.0,50.0,62.0,7.0,15.0,0.0,62.0,62.0
Kilmore - Broadford,2020,17035.94,,260.11,19.07,,1.72,177.49,305.74,48.0,,3.0,1.0,,0.0,3.0,3.0
Kimba - Cleve - Franklin Harbour,2020,1000347.03,,,,,,,,273.0,,,,,,,
Kin Kora - Sun Valley,2020,10127.61,,,,,,,,2.0,,,,,,,
Kincumber - Picketts Valley,2020,1.86,,3.72,1.24,,4.97,0.75,3.72,1.0,,1.0,1.0,,0.0,1.0,1.0
King Island,2020,57008.18,35.8,55.8,20.0,,1.77,31.51,55.8,82.0,1.0,2.0,1.0,,0.0,2.0,2.0
Kingaroy,2020,6231.26,77.39,77.39,,,3.0,25.8,77.39,23.0,1.0,1.0,,,0.0,1.0,1.0
Kingaroy Surrounds - North,2020,328374.4,5044.36,10018.54,990.74,3823.27,3.17,2789.04,8836.79,333.0,28.0,57.0,17.0,33.0,0.0,57.0,57.0
Kingaroy Surrounds - South,2020,192196.76,3499.85,5631.56,545.23,855.24,3.47,1604.23,5568.34,239.0,27.0,38.0,10.0,10.0,0.0,38.0,38.0
Kinglake,2020,2813.06,158.8,722.35,255.41,302.26,3.87,183.59,711.06,31.0,9.0,18.0,9.0,5.0,0.0,18.0,18.0
Kings Meadows - Punchbowl,2020,2.21,,2.42,,,1.05,2.32,2.42,1.0,,1.0,,,0.0,1.0,1.0
Kingscliff - Fingal Head,2020,781.92,147.48,203.5,56.01,,1.79,128.2,230.07,15.0,4.0,9.0,8.0,,0.0,9.0,9.0
Kingston - Huntingfield,2020,4.85,3.55,13.01,8.87,,5.24,2.48,13.01,2.0,1.0,2.0,2.0,,0.0,2.0,2.0
Kingston - Robe,2020,394994.14,22798.44,27198.95,109.94,2393.34,4.45,6104.17,27165.11,182.0,45.0,50.0,2.0,2.0,0.0,50.0,50.0
Kingston Beach - Blackmans Bay,2020,336.39,,2.24,2.24,,1.0,2.24,2.24,1.0,,1.0,1.0,,0.0,1.0,1.0
Kojonup,2020,814538.16,604.36,1190.03,585.68,,0.72,1646.79,1191.08,411.0,2.0,11.0,10.0,,0.0,11.0,11.0
Koo Wee Rup,2020,20542.14,368.98,1007.97,127.98,52.55,1.83,522.63,954.81,189.0,11.0,16.0,3.0,2.0,0.0,16.0,16.0
Koolpinyah,2020,87306.96,15.58,15.58,,,4.55,3.74,17.03,2.0,1.0,1.0,,,0.0,1.0,1.0
Korora - Emerald Beach,2020,245.91,20.0,60.94,33.56,1.4,0.44,133.38,59.09,14.0,1.0,9.0,7.0,2.0,0.0,9.0,9.0
Korumburra,2020,47149.79,485.46,570.17,72.59,,2.44,235.07,573.95,297.0,1.0,10.0,8.0,,0.0,10.0,10.0
